Cells Transmitted,Success Probability
0,0.0
1,0.0
2,0.0
3,0.005
4,0.015299145299145299
5,0.02659035409035409
6,0.023085556514349084
7,0.060301827801827794
8,0.05713105413105415
9,0.06036682903674006
10,0.09560776389633614
11,0.13436539587043506
12,0.13300676893016153
13,0.1325521988213152
14,0.17106467758820695
15,0.1704780941380377
16,0.24901040647623846
17,0.2877105051668142
18,0.28775362024905166
19,0.2872633968473228
20,0.2873411422462662
21,0.2873411422462662
22,0.2873411422462662
23,0.2873411422462662
24,0.2873411422462662
25,0.2873411422462662
26,0.2873411422462662
27,0.2873411422462662
28,0.2873411422462662
29,0.2873411422462662
30,0.5225391730977139
31,0.5225391730977139
32,0.5225391730977139
33,0.5225391730977139
34,0.5225391730977139
35,0.5225391730977139
36,0.5225391730977139
37,0.5225391730977139
38,0.5225391730977139
39,0.5225391730977139
40,0.5225391730977139
41,0.5225391730977139
42,0.5225391730977139
43,0.5225391730977139
44,0.5225391730977139
45,0.5225391730977139
46,0.5225391730977139
47,0.5225391730977139
48,0.5225391730977139
49,0.5225391730977139
50,0.5225391730977139
51,0.5225391730977139
52,0.5225391730977139
53,0.5225391730977139
54,0.5225391730977139
55,0.5225391730977139
56,0.5225391730977139
57,0.5225391730977139
58,0.5225391730977139
59,0.5225391730977139
60,0.8402877697841727
61,0.8402877697841727
62,0.8402877697841727
63,0.8402877697841727
64,0.8402877697841727
65,0.8402877697841727
66,0.8402877697841727
67,0.8402877697841727
68,0.8402877697841727
69,0.8402877697841727
70,0.8402877697841727
71,0.8402877697841727
72,0.8402877697841727
73,0.8402877697841727
74,0.8402877697841727
75,0.8402877697841727
76,0.8402877697841727
77,0.8402877697841727
78,0.8402877697841727
79,0.8402877697841727
80,0.8402877697841727
81,0.8402877697841727
82,0.8402877697841727
83,0.8402877697841727
84,0.8402877697841727
85,0.8402877697841727
86,0.8402877697841727
87,0.8402877697841727
88,0.8402877697841727
89,0.8402877697841727
90,0.8402877697841727
91,0.8402877697841727
92,0.8402877697841727
93,0.8402877697841727
94,0.8402877697841727
95,0.8402877697841727
96,0.8402877697841727
97,0.8402877697841727
98,0.8402877697841727
99,0.8402877697841727
100,0.92
101,0.92
102,0.92
103,0.92
104,0.92
105,0.92
106,0.92
107,0.92
108,0.92
109,0.92
110,0.92
111,0.92
112,0.92
113,0.92
114,0.92
115,0.92
116,0.92
117,0.92
118,0.92
119,0.92
120,0.92
121,0.92
122,0.92
123,0.92
124,0.92
125,0.92
126,0.92
127,0.92
128,0.92
129,0.92
130,0.92
131,0.92
132,0.92
133,0.92
134,0.92
135,0.92
136,0.92
137,0.92
138,0.92
139,0.92
140,0.92
141,0.92
142,0.92
143,0.92
144,0.92
145,0.92
146,0.92
147,0.92
148,0.92
149,0.92
150,0.92
151,0.92
152,0.92
153,0.92
154,0.92
155,0.92
156,0.92
157,0.92
158,0.92
159,0.92
160,0.92
161,0.92
162,0.92
163,0.92
164,0.92
165,0.92
166,0.92
167,0.92
168,0.92
169,0.92
170,0.92
171,0.92
172,0.92
173,0.92
174,0.92
175,0.92
176,0.92
177,0.92
178,0.92
179,0.92
180,0.92
181,0.92
182,0.92
183,0.92
184,0.92
185,0.92
186,0.92
187,0.92
188,0.92
189,0.92
190,0.92
191,0.92
192,0.92
193,0.92
194,0.92
195,0.92
196,0.92
197,0.92
198,0.92
199,0.92
200,0.92
201,0.92
202,0.92
203,0.92
204,0.92
205,0.92
206,0.92
207,0.92
208,0.92
209,0.92
210,0.92
211,0.92
212,0.92
213,0.92
214,0.92
215,0.92
216,0.92
217,0.92
218,0.92
219,0.92
220,0.92
221,0.92
222,0.92
223,0.92
224,0.92
225,0.92
226,0.92
227,0.92
228,0.92
229,0.92
230,0.92
231,0.92
232,0.92
233,0.92
234,0.92
235,0.92
236,0.92
237,0.92
238,0.92
239,0.92
240,0.92
241,0.92
242,0.92
243,0.92
244,0.92
245,0.92
246,0.92
247,0.92
248,0.92
249,0.92
250,0.92
251,0.92
252,0.92
253,0.92
254,0.92
255,0.92
256,0.92
257,0.92
258,0.92
259,0.92
260,0.92
261,0.92
262,0.92
263,0.92
264,0.92
265,0.92
266,0.92
267,0.92
268,0.92
269,0.92
270,0.92
271,0.92
272,0.92
273,0.92
274,0.92
275,0.92
276,0.92
277,0.92
278,0.92
279,0.92
280,0.96
281,0.96
282,0.96
283,0.96
284,0.96
285,0.96
286,0.96
287,0.96
288,0.96
289,0.96
290,0.96
291,0.96
292,0.96
293,0.96
294,0.96
295,0.96
296,0.96
297,0.96
298,0.96
299,0.96
300,0.96
301,0.96
302,0.96
303,0.96
304,0.96
305,0.96
306,0.96
307,0.96
308,0.96
309,0.96
310,0.96
311,0.96
312,0.96
313,0.96
314,0.96
315,0.96
316,0.96
317,0.96
318,0.96
319,0.96
320,0.96
321,0.96
322,0.96
323,0.96
324,0.96
325,0.96
326,0.96
327,0.96
328,0.96
329,0.96
330,0.96
331,0.96
332,0.96
333,0.96
334,0.96
335,0.96
336,0.96
337,0.96
338,0.96
339,0.96
340,0.96
341,0.96
342,0.96
343,0.96
344,0.96
345,0.96
346,0.96
347,0.96
348,0.96
349,0.96
350,0.96
351,0.96
352,0.96
353,0.96
354,0.96
355,0.96
356,0.96
357,0.96
358,0.96
359,0.96
360,0.96
361,0.96
362,0.96
363,0.96
364,0.96
365,0.96
366,0.96
367,0.96
368,0.96
369,0.96
370,0.96
371,0.96
372,0.96
373,0.96
374,0.96
375,0.96
376,0.96
377,0.96
378,0.96
379,0.96
380,0.96
381,0.96
382,0.96
383,0.96
384,0.96
385,0.96
386,0.96
387,0.96
388,0.96
389,0.96
390,0.96
391,0.96
392,0.96
393,0.96
394,0.96
395,0.96
396,0.96
397,0.96
398,0.96
399,0.96
