Cells Transmitted,Success Probability
0,0.0
1,0.0
2,0.0
3,0.007272727272727273
4,0.005
5,0.006000000000000001
6,0.006000000000000001
7,0.018738603425559944
8,0.030842897842897846
9,0.04055062944718116
10,0.048
11,0.048
12,0.048
13,0.048
14,0.048
15,0.048
16,0.048
17,0.773
18,0.773
19,0.773
20,0.773
21,0.773
22,0.773
23,0.773
24,0.773
25,0.773
26,0.773
27,0.773
28,0.773
29,0.773
30,0.773
31,0.773
32,0.773
33,0.773
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
