Cells Transmitted,Success Probability
0,0.0
1,0.0
2,0.095
3,0.3146666666666666
4,0.3146666666666666
5,0.3146666666666666
6,0.5458769841269844
7,0.5458769841269844
8,0.5458769841269844
9,0.5458769841269844
10,0.7514485236985236
11,0.7514485236985236
12,0.7514485236985236
13,0.7514485236985236
14,0.7514485236985236
15,0.8747335164835165
16,0.8747335164835165
17,0.8747335164835165
18,0.8747335164835165
19,0.8747335164835165
20,0.8747335164835165
21,0.97
22,0.97
23,0.97
24,0.97
25,0.97
26,0.97
27,0.97
28,0.98
29,0.98
30,0.98
31,0.98
