Cells Transmitted,Success Probability
0,0.0
1,0.01
2,0.001
3,0.009715909090909093
4,0.01465598432355398
5,0.015500000000000007
6,0.015500000000000007
7,0.04099631777240474
8,0.04973594715573728
9,0.058363594515318626
10,0.06933333333333326
11,0.06933333333333326
12,0.06933333333333326
13,0.06933333333333326
14,0.06933333333333326
15,0.06933333333333326
16,0.06933333333333326
17,0.75725
18,0.75725
19,0.75725
20,0.75725
21,0.75725
22,0.75725
23,0.75725
24,0.75725
25,0.75725
26,0.75725
27,0.75725
28,0.75725
29,0.75725
30,0.75725
31,0.75725
32,0.75725
33,0.75725
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
